Facility Name,District,Amount Paid,Claim Month,Payment Date
SARAKYI AKURA CHPS,EJURA SEKYED,693.06,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SARFOKROM HEALTH CENTRE,AMANSIE EAST,8604.43,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SARFOKROM HEALTH CENTRE,AMANSIE EAST,9158.99,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SASEKOPE CHPS,SOUTH TONGU,733.28,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
SASIEME CHPS COMPOUND,KETA,531.17,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SASIEME CHPS COMPOUND,KETA,1003.41,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
SAVIEFE CHPS COMPOUND,HO,1740.15,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
SAVIEFE CHPS COMPOUND,HO,3081.53,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
SAWLA HEALTH CENTRE,SAWLA TUNA KALB,11655.38,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SAWLA HEALTH CENTRE,SAWLA TUNA KALB,12595.69,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SAWUA HEALTH CENTRE,BOSOMTWE-A_K,15879.95,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SDA CLINIC (ANYINASUSO),OFFINSOMAN,24098.46,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
"SDA CLINIC, DADIESO",AOWIN-SUAMAN,59175.82,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SDA CLINIC-SEFWI ASAWINSO,SEFWI WIAWSO,73222.42,PAYMENT OF CLAIMS FOR FEB 2026,01-Jul-2026
SDA HEALTH CENTRE-ASAAGO,BOSOMTWE-ATWIMA,2309.22,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SDA HOSPITAL (KWADASO KUMASI),BANTAMA,369709.20,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SDA HOSPITAL (KWADASO KUMASI),BANTAMA,17752.85,REPAYMENT OF TAX PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SDA HOSPITAL (KWADASO KUMASI),BANTAMA,327875.58,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
"SDA HOSPITAL, DOMINASE AMANSIE EAST",AMANSIE EAST,315471.29,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
"SDA HOSPITAL, DOMINASE AMANSIE EAST",AMANSIE EAST,377013.39,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
"SDA HOSPITAL, KOFORIDUA",NEW JUABEN,192039.01,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
"SDA HOSPITAL,ASAMANG",AFIGYA SEK,323926.40,PAYMENT OF CLAIMS FOR MARCH-26,01-Jul-2026
SEDUASE CHPS COMPOUND,TEMA,1938.26,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SEDUASE CHPS COMPOUND,TEMA,1734.64,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
SEGE POLYCLINIC,DANGME EAST,39084.61,PAYMENT OF CLAIMS FOR SEPT-25,01-Jul-2026
SEGE POLYCLINIC,DANGME EAST,59576.22,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
SEGE POLYCLINIC,DANGME EAST,41056.52,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
SEIKWA HEALTH CENTRE,TAIN DIST,24340.35,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SEKETIA HEALTH CENTRE,JAMAN NORTH HIS,58460.49,PAYMENT OF CLAIMS FOR MARCH-26,01-Jul-2026
SEKYEDUMASE HEALTH CENTRE,EJURA SEKYED,67314.92,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
SEKYERE HEMANG CHPS (MPOHOR WASSA),MPOHOR WASSA EA,5033.63,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SEKYERE KROBO HEALTH CENTRE,MPOHOR WASSA EA,5651.76,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SEMPOA CHPS,OKWAWUMAN S,4986.51,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SENCHI FERRY HEALTH CENTRE,ASUOGYAMAN,18884.12,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SENE WEST DISTRICT HOSPITAL,SENE,252250.82,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
SENEBAGA CHPS,GARU,282.89,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SENTIAW,MPOHOR WASSA EA,940.60,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
SENTIE CHPS,SISSALA E,1257.78,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SEPE BUOKROM HEALTH CENTRE,MANHYIA,17196.26,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
SEWUM HEALTH CENTRE,AOWIN-SUAMAN,13946.06,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SEYIRI CHPS,WA CENTRAL,285.81,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
"SHAI OSUDOKU DISTRICT HOSPITAL,",DANGME W,229515.30,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
"SHAI OSUDOKU DISTRICT HOSPITAL,",DANGME W,224020.24,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
SHEAGA CHPS COMPOUND,TALENSI NABDAM,343.83,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SHEAGA CHPS COMPOUND,TALENSI NABDAM,789.55,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SHEINI CHPS,ZABZUGU/TATALE,1663.20,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
SHERIGU HEALTH CENTER,BOLGA,13676.41,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SHIA HEALTH CENTRE.,HO,8419.72,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SHISHEGU CHPS,SAGNARIGU MHIS,1664.77,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
SIBI HILL TOP CHPS COMPOUND,NKWANTA,4565.81,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
SIENCHEM RURAL CLINIC,ASUTIFI,7247.87,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SIGRI CHPS COMPOUND,JIRAPA-LAMB,3627.63,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SILANDRE CHPS COMPOUND,HO,2351.87,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
SILOAM GOSPEL CLINIC,JOMORO,23768.01,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SISIAMANG CHPS COMPOUND,MANYA KROBO,2035.68,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
SISSIPE CHPS,EAST GONJA,470.00,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SOE HEALTH CENTRE,BONGO,23572.55,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SOGAKOPE CHPS,SOUTH TONGU,2399.02,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
SOGON CHPS,BIMBILLA,2298.26,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SOKABISI HEALTH CENTRE,BOLGA,16818.49,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SOKODE - LOKOE CHPS,HO,4251.72,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SOKODE ANDO/BAGBLE CHPS,HO,6130.39,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SOKODE ETOE CHPS COMPOUND,HO,830.42,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
SOKODE JUASO CHPS COMPOUND,EAST AKIM,1383.94,PAYMENT OF CLAIMS FOR MAY-26,01-Jul-2026
SOKODE JUASO CHPS COMPOUND,EAST AKIM,1590.83,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SOKUTIME CHPS COMPOUND,SOUTH TONGU,4243.58,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SOMA CHPS COMPOUND,SAWLA TUNA KALB,1733.00,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SOMANYA HEALTH CENTRE,YILO KROBO,18579.84,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SOMANYA HEALTH CENTRE,YILO KROBO,18556.55,PAYMENT OF CLAIMS FOR APR-24,01-Jul-2026
SOMBISI CHPS,WA EAST,852.10,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SOMBO HEALTH CENTRE,NADOWLI,8273.64,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SOMBO HEALTH CENTRE,NADOWLI,12708.79,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SOMUM CHPS COMPOUND,WEST GONJA,14.82,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
SOMUM CHPS COMPOUND,WEST GONJA,14.40,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SOMUM CHPS COMPOUND,WEST GONJA,38.11,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SONGO HEALTH CENTRE,GARU,13159.61,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SONGO HEALTH CENTRE,GARU,10396.56,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
SONNE CHPS,LAWRA,704.85,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
SOO CHPS,W MAMPRUSI,2735.07,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SOO CHPS,W MAMPRUSI,1276.79,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
SOO CHPS,W MAMPRUSI,1794.09,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
SORI CHPS COMPOUND,WEST GONJA,1000.27,ACCRUAL OF UNVETTED CLAIMS FOR NOV-25,01-Jul-2026
SORI CHPS COMPOUND,WEST GONJA,1643.08,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
SOVIE CHPS COMPOUND,KETU NORTH,3092.48,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
SOVIE CHPS COMPOUND,KETU NORTH,4283.59,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SOVIE HEALTH CENTER,VOLTA,11755.67,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SOWUTUOM CHPS COMPOUND,ASIKUMA ODOBEN,2457.53,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
SRA HEALTH CENTRE,SUHUM KRA C,561.79,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SRA HEALTH CENTRE,SUHUM KRA C,314.68,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SRA HEALTH CENTRE,SUHUM KRA C,361.86,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SRAHA AYIEM CHPS,AMENFIMAN,1300.70,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
SRESO TINPOM HEALTH CENTRE,ATWIMA MPONOA,34864.34,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ST ANNE'S POLYCLINIC-TAGADZI,NORTH TONGU,46923.39,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST ANNE'S POLYCLINIC-TAGADZI,NORTH TONGU,38611.03,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
"ST ANTHONY HOSPITAL,DZODZE",KETU NORTH,261169.98,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
"ST ANTHONY HOSPITAL,DZODZE",KETU NORTH,241217.74,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST ELIZABETH CATHOLIC HOSPITAL,ASUTIFI,544614.00,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ST FRANCIS XAVIER HOSPITAL,ASSIN NORTH,873277.80,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ST FRANCIS XAVIER HOSPITAL,ASSIN NORTH,729119.30,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST FRANCIS XAVIER HOSPITAL,ASSIN NORTH,810581.26,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST GERHARD'S HEALTH CENTRE,SISSALA W,15269.36,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ST GERHARD'S HEALTH CENTRE,SISSALA W,15557.92,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST JOHN OF GOD HOSPITAL (DUAYAW NKWANTA),TANO NORTH HIS,394187.43,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST JOHN OF GOD HOSPITAL (DUAYAW NKWANTA),TANO NORTH HIS,448437.61,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ST JOHN OF GOD HOSPITAL (DUAYAW NKWANTA),TANO NORTH HIS,491162.55,PAYMENT OF CLAIMS FOR AUG-25,01-Jul-2026
ST LUKE CATHOLIC HOSPITAL - APAM,GOMOAMAN,239479.83,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ST LUKE CATHOLIC HOSPITAL - APAM,GOMOAMAN,230649.96,PAYMENT OF CLAIMS FOR FEB. 26,01-Jul-2026
ST MARK'S ANGLICAN CLINIC,BIBIANI-AN BE,4008.88,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST MARK'S ANGLICAN CLINIC,BIBIANI-AN BE,5006.31,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ST MARY'S CHPS,AMANSIE EAST,8187.02,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ST MICHAEL CLINIC AND MATERNITY HOME,BIRIM NORTH,28760.48,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST MICHAEL CLINIC AND MATERNITY HOME,BIRIM NORTH,27726.61,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ST MICHAEL CLINIC AND MATERNITY HOME(ER),BIRIM NORTH DMH,27967.18,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST PETERS CLINIC,ASUTIFI,4823.54,PAYMENT OF CLAIMS FOR JAN.-26,01-Jul-2026
ST PETERS CLINIC,ASUTIFI,4084.24,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST. ANDREWS ANGLICAN CLINIC,UPPER DENKYIRA,813.14,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST. ANNE MEDICAL CENTRE,NADOWLI,21114.03,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ST. ANTHONY'S HEALTH CENTRE,TAIN,20085.56,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST. DOMINIC CLINIC,PRU,4956.24,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST. DOMINIC CLINIC,PRU,5518.40,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ST. DOMINIC HOSPITAL,AKWATIA,1140480.78,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST. DOMINIC HOSPITAL,AKWATIA,62381.18,CLAIMS UNDER-PAYMENT DIFFERENT FOR JAN-26,01-Jul-2026
ST. FRANCIS CLINIC,HO,17759.10,ACCRUAL OF UNVETTED CLAIMS FOR DEC-25,01-Jul-2026
ST. FRANCIS CLINIC,HO,14320.26,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST. FRANCIS CLINIC,HO,16916.72,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ST. GEORGE'S CLINIC (LIATI),HOHOE,17095.52,PAYMENT OFCLAIMS FOR FEB-2026,01-Jul-2026
ST. GEORGE'S CLINIC (LIATI),HOHOE,21270.92,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
ST. GEORGE'S CLINIC (LIATI),HOHOE,19286.95,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ST. GEORGE'S CLINIC (LIATI),HOHOE,17691.61,PAYMENT OFCLAIMS FOR MAR-2026,01-Jul-2026
ST. GREGORY CATHOLIC CLINIC,GOMOAMAN HIS,336898.22,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ST. GREGORY CATHOLIC CLINIC,GOMOAMAN HIS,348222.30,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
"ST. IGNATIUS HEALTH CENTRE,",WA WEST,16508.14,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
"ST. IGNATIUS HEALTH CENTRE,",WA WEST,27822.14,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
"ST. JAMES CLINIC, ABESIM",SUNYANI,40020.02,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ST. JOHN OF GOD CLINIC- ADENTA,ADENTA,101690.73,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST. JOHN OF GOD HEALTH CENTRE (BIA),BIA,15213.34,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST. JOHN OF GOD HEALTH CENTRE (BIA),BIA,24200.41,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ST. JOHN OF GOD HEALTH CENTRE (BIA),BIA,17854.41,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST. JOHN OF GOD HOSPITAL SEFWI WIAWSO,SEFWI WIAWSO,368505.36,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST. JOHN OF GOD HOSPITAL SEFWI WIAWSO,SEFWI WIAWSO,345663.01,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST. JOHN'S CLINIC AND MATERNITY (EASTERN),BIRIM NORTH,103430.58,PAYMENT OF CLAIMS FOR MARCH-26,01-Jul-2026
ST. JOHN'S CLINIC AND MATERNITY (EASTERN),BIRIM NORTH,82980.80,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ST. JOSEPH CLINIC AND MATERNITY HOME,OKWAWUMAN SOUTH,35228.09,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST. JOSEPH HEALTH CENTRE (KASSENA-NANKANA),UPPER EAST,27774.37,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST. JOSEPH HOSPITAL,NEW JUABEN,427415.43,PAYMENT OF CLAIMS FOR FEB 26,01-Jul-2026
ST. JOSEPH HOSPITAL,NEW JUABEN,460830.33,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ST. JOSEPH HOSPITAL - JIRAPA,JIRAPA,544334.18,PAYMENT OF CLAIMS FOR MARCH-26,01-Jul-2026
"ST. JOSEPH THE WORKER HEALTH CENTER, GUABULIGA",WEST MAMPRUSI D,15776.54,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ST. JOSEPH'S CLINIC (WENCHI),WENCHI DISTRICT,132093.93,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST. JOSEPH'S CLINIC (WENCHI),WENCHI DISTRICT,144089.69,PAYMENT OF CLAIMS FOR MARCH-26,01-Jul-2026
"ST. JOSEPH'S CLINIC, BECHEM",TANO SOUTH,18709.28,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST. LUKES METHODIST CLINIC,BIA,3160.66,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST. LUKES METHODIST CLINIC,BIA,3613.67,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ST. MARTIN DE PORRES HEALTH CENTRE (EREMON HEALTH CENTRE),LAWRA,27225.53,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
"ST. MARTIN DE PORRES HOSPITAL,EIKWE",ELEMBELLE,438128.98,PAYMENT OF CLAIMS FOR MAR. 26,01-Jul-2026
ST. MARTIN'S PHC/MATERNITY- BIU,KASENA NANKANA,29187.61,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST. MARY THERESA HOSPITAL,KADJEBI,223557.90,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
"ST. MARY'S HOSPITAL, DROBO",JAMAN S,551756.46,ACCRUAL OF UNVETTED CLAIMS FOR JUL-25,01-Jul-2026
"ST. MARY'S HOSPITAL, DROBO",JAMAN S,397571.91,PAYMENT OF CLAIMS FOR NOV 22,01-Jul-2026
"ST. MARY'S HOSPITAL, DROBO",JAMAN S,516710.77,PAYMENT OF CLAIMS FOR MAR 26,01-Jul-2026
ST. MONICA'S CLINIC AND MATERNITY HOME,ATIWA,26870.73,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ST. MONICA'S CLINIC AND MATERNITY HOME,ATIWA,18858.02,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST. PATRICK HEALTH CENTER - WULUGU,WEST MAMPRUSI D,20023.18,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST. PATRICK'S HOSPITAL,OFFINSOMAN,995479.70,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ST. PAULINE CLINIC,AYAWASO,4242.00,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST. THERESA HOSPITAL - NANDOM,LAWRA MHIS,573805.28,PAYMENT OF CLAIMS FOR MARCH-26,01-Jul-2026
ST. THERESA HOSPITAL - NANDOM,LAWRA MHIS,500222.08,PAYMENT OF CLAIMS FOR APR- 26,01-Jul-2026
ST. THERESA'S HOSPITAL (NKORANZA),NKORANZA DIST.,474530.55,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ST. VINCENT'S CLINIC AND MATERNITY,SEKYERE EAST-EF,9852.12,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SUAME GOVERNMENT HOSPITAL,SUAME,142717.51,PAYMENT OF CLAIMS FOR MARCH-26,01-Jul-2026
SUAME MAGAZINE HEALTH CENTRE,BANTAMA,2091.42,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SUBINSO HEALTH CENTRE.,WENCHI,19647.93,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SUBINSO HEALTH CENTRE.,WENCHI,15816.33,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
SUBRISO NO. 1 CHPS,TANO N,8637.90,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SUHUM HEALTH CENTRE,SUHUM KRA C,17146.33,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
SUHYENSU CHPS ZONE,AMENFI EAST,1218.17,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SUKUUMU CHPS COMPOUND,AMANSIE CENT,2907.70,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
SUMBRUNGU HEALTH CENTRE,BOLGA,13473.81,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
FAME CLINIC (TATINDO),ZABZUGU/TATALE,9219.07,PAYMENT OF CLAIMS FOR APR-25,01-Jul-2026
FAME CLINIC (TATINDO),ZABZUGU/TATALE,8940.37,PAYMENT OF CLAIMS FOR JUN-25,01-Jul-2026
FAME CLINIC BENWOKO,GARU-TEMPANE,11238.60,PAYMENT OF CLAIMS FOR OCT-25,01-Jul-2026
FAME CLINIC BENWOKO,GARU-TEMPANE,7500.98,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
"FAME CLINIC, AKPLALE",SOUTH TONGU,1025.65,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
"FAME CLINIC, AKPLALE",SOUTH TONGU,499.51,PAYMENT OF CLAIMS FOR MAR-25,01-Jul-2026
"FAME CLINIC, AKPLALE",SOUTH TONGU,853.20,PAYMENT OF CLAIMS FOR JAN. 2026,01-Jul-2026
"FAME CLINIC, AKPLALE",SOUTH TONGU,1173.83,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
FAME CLINIC-MAKANGO,EAST GONJA,10721.53,PAYMENT OF CLAIMS FOR MAY-25,01-Jul-2026
FAME CLINIC-MAKANGO,EAST GONJA,19213.66,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
FANTEM CHPS COMPOUND,MANYA KROBO,694.56,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
FANTEM CHPS COMPOUND,MANYA KROBO,594.22,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
FARFAR CHPS,GARU,1561.55,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
FARFAR CHPS,GARU,631.25,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
FARFAR CHPS,GARU,1093.21,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
FATHER THOMAS ALAN ROONEY MEMORIAL HOSPITAL(FTARMH),AMENFIMAN,323634.25,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
FATHER THOMAS ALAN ROONEY MEMORIAL HOSPITAL(FTARMH),AMENFIMAN,282855.48,PAYMENT OF CLAIMS FOR MARCH-26,01-Jul-2026
FATHER THOMAS ALAN ROONEY MEMORIAL HOSPITAL(FTARMH),AMENFIMAN,251590.49,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
"FAWOMAN CHPS,BANDA",TAIN DIST,14541.59,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
FAWOMANYE CHPS (AJUMAKO ENYAN ESSIAM),AJUMAKO ENYAN,1484.85,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
FEFE CHPS COMPOUND,MANYA KROBO,244.24,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
FEFE CHPS COMPOUND,MANYA KROBO,388.82,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
FESI CHPS (KPANDO),KPANDO,4793.11,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
FIANKOMA HEALTH CENTRE,AMANSIE CENT,15421.16,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
FIAPRE ZONGO CHPS,SUNYANI WEST,4495.25,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
FIASO HEALTH CENTRE,TECHIMAN,20650.88,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
FIELMUO HEALTH CENTRE,SISSALA W,15017.68,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
FIELMUO HEALTH CENTRE,SISSALA W,18806.52,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
FITRI CHPS COMPOUND,TECHIMAN MUNICI,9800.58,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
FOASE HEALTH CENTRE,BOSOMTWE-A_K,26726.09,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
FODOA CHPS,OKWAHUMAN W,14164.97,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
FODOA CHPS,OKWAHUMAN W,13515.16,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
FODOME AHOR CHPS COMPOUND,HOHOE,8272.81,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
FODOME AHOR CHPS COMPOUND,HOHOE,5678.17,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
FODOME AHOR CHPS COMPOUND,HOHOE,6085.22,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
FODOME HELU HEALTH CENTER,HOHOE,4875.19,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
"FODOME WOE CHPS COMPOUND,",HOHOE,4148.28,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
FORIFORI HEALTH CENTRE,AFRAM PLAINS,8650.85,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
