Facility Name,District,Amount Paid,Claim Month,Payment Date
AGAVEDZI HEALTH CENTER,KETU,15206.61,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AGAVENYA CHPS COMPOUND,NEW JUABEN,2982.29,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AGBATEH CHPS COMPOUND,SOUTH DAYI,1197.44,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
AGBENOXOE HEALTH CENTRE,KPANDO,2289.40,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
AGBESIA CHPS,ADAKLU,10058.51,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AGBESIA CHPS,ADAKLU,7066.05,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AGBEVE CHPS COMPOUND,SOUTH TONGU,278.92,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AGGRESSO CHPS,AMENFIMAN,1136.28,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
AGOGO PRESBYTERIAN HOSPITAL,ASANTE AKIM NOR,937709.12,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AGOMEDA HEALTH CENTRE (AGOMEDA),DANGME WEST,13222.89,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AGOMEDA HEALTH CENTRE (AGOMEDA),DANGME WEST,22308.09,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AGOMEDA HEALTH CENTRE (AGOMEDA),DANGME WEST,16817.17,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AGOMEDA HEALTH CENTRE (AGOMEDA),DANGME WEST,21990.86,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
"AGONA AMENFI HEALTH CENTRE,",AMENFIMAN,9547.22,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AGONA CAMP CHPS,AMENFIMAN,2545.74,PAYMENT OF CLAIMS FOR MAY-23,01-Jul-2026
